dt,Durazno,Sarandi_del_yi,Polanco_del_yi,Sarandi_del_Yi_level,Durazno_level,Polanco_level,Sarandi_del_Yi_precipitation,Polanco_precipitation,Durazno_precipitation,Precipitaciones_IMERG_Durazno,Precipitaciones_MERRA_Durazno,Precipitaciones_IMERG_Polanco_del_Yi,Precipitaciones_MERRA_Polanco_del_Yi,Precipitaciones_IMERG_Sarandi_del_Yi,Precipitaciones_MERRA_Sarandi_del_Yi,humedad_suelo,Temperatura,ET
3/23/17,0.003,0.005,0.008,1.16,0.36,2.01,0.0,0.0,0.0,0.576980889,0.000909017,0.970456541,0.000909017,1.30505669,0.000251143,0.33427846786453963,16.435607215167312,3.1470083514612432
12/10/16,0.0,0.0,0.0,1.25,0.22,1.94,0.0,0.0,0.0,0.015719611,9.87e-08,0.0,9.87e-08,0.0,1.28e-06,0.25612099403549976,14.472170471918393,2.7826378399407066
3/29/19,0.0,0.0,0.0,1.12,0.14,1.75,0.0,0.0,0.0,0.76372081,1.68e-16,1.07552755,1.68e-16,0.966703594,8.76e-09,0.20116501390279146,11.663347860097982,3.2894093214424647
2/29/16,0.0,0.0,0.0,1.13,0.0,1.64,0.0,0.0,0.0,0.0,7.67e-08,0.0,7.67e-08,0.0,3.06e-17,0.30029008137647323,20.20423138403188,2.7843225354370102
10/14/18,0.0,0.0,0.0,4.2,1.76,3.44,0.0,0.0,0.0,0.0,4.14e-05,0.0,4.14e-05,0.0,1.72e-05,0.2814915595468311,17.354471486803273,2.92434270419539
2/6/19,0.0,0.0,0.0,1.3,2.25,2.99,0.0,0.0,0.0,0.0,0.38022995,0.0,0.38022995,0.0,0.262856483,0.13721256703070078,21.82767689404635,4.15223036886964
1/5/19,0.0,0.0,0.0,3.69,4.57,5.8875,0.0,0.0,0.0,0.0,9.51e-22,0.0,9.51e-22,0.0,3.43e-09,0.27730345828674297,19.333740931101968,2.9773551744886038
3/18/19,0.0,0.0,0.0,1.16,0.5,2.27,10.0,4.0,19.0,0.0,2.56e-20,0.0,2.56e-20,0.0,3.96e-22,0.29886731099131947,16.251237632232705,3.4397193982812015
11/29/19,0.0,0.0,0.0,1.18,0.0,1.89,0.0,0.0,0.0,0.125985578,2.78e-06,0.204352751,2.78e-06,0.760548472,1.79e-05,0.25590914933137116,19.751124754048863,2.094697650771161
7/14/18,0.0,0.0,0.0,1.7725,4.12,4.35,0.0,0.0,0.0,0.077384308,0.03426522,0.072551392,0.03426522,0.11206986,0.023080409,0.23726853442983226,14.96789836752945,3.151237143735533
2/11/19,0.046,0.062,0.048,1.21,1.6,2.34,1.0,0.0,0.0,15.5336142,0.067698956,15.4185705,0.067698956,13.3334513,0.213074684,0.2564611637965755,15.525251032944551,3.1426562848694664
10/16/15,0.0,0.0,0.0,1.46,1.13,3.16,0.0,0.0,0.0,0.0,8.09e-19,0.0,8.09e-19,0.0,3.66e-20,0.2483132697003085,14.875806704352241,2.9732576971610167
4/16/15,0.0,0.0,0.0,1.0575,0.0,1.48,0.0,0.0,0.0,0.0,0.002435781,0.158884287,0.002435781,0.076967552,0.001838151,0.25642241565720153,13.365489105592138,2.8933438453400275
12/22/15,0.025,0.016,0.011,1.34,3.18,3.63,3.0,5.0,45.0,45.9169769,0.07724762,50.7007866,0.07724762,30.8357067,0.097042322,0.26545666486394565,15.206232932753915,2.7731568345161524
8/9/19,0.025,0.026,0.017,1.69,1.41,3.0,41.0,42.0,43.0,18.3616161,0.0,26.9352722,0.0,19.0195255,0.00331169,0.2661955187508825,19.400621425397258,3.247356982495276
5/12/18,0.0,0.0,0.0,1.21,0.0,2.01,2.0,0.0,1.0,0.0,5.13e-06,0.0,5.13e-06,0.0,0.001600944,0.263763586761923,16.962023641499126,2.949886546309198
10/4/17,0.0,0.0,0.0,1.44,2.9,3.13,0.0,0.0,0.0,0.055207316,6.64e-09,0.081289224,6.64e-09,0.004028843,6.87e-10,0.3567698244914149,17.70990070866976,3.384588063776554
9/14/16,0.0,0.0,0.0,4.95,4.55,5.2,1.0,0.0,1.0,0.082121089,2.89e-15,0.042189762,2.89e-15,0.174750268,5.4e-07,0.20159104580548426,15.823353362815105,2.5419870476305633
7/20/17,0.0,0.0,0.0,1.41,1.13,3.25,0.0,0.0,0.0,0.0,1.67e-08,0.0,1.67e-08,0.0,1.79e-07,0.15506324388362636,8.462438635003426,3.573537127758499
11/14/16,0.0,0.0,0.0,1.19,0.33,1.9,0.0,0.0,0.0,0.023135042,0.0,0.132929072,0.0,0.088110089,0.0,0.18830269813566725,14.22482345799824,2.5719226880352126
6/25/18,0.001,0.0,0.0,2.2,0.66,2.52,0.0,0.0,0.0,0.0,0.000617118,0.007950222,0.000617118,0.0,7.16e-06,0.2272662215177508,21.050875112700314,3.363073157057543
10/13/16,0.0,0.0,0.002,1.17,0.24,1.65,0.0,0.0,0.0,0.050495509,0.075423718,0.031670153,0.075423718,0.096724764,0.156801939,0.2206125104065638,15.40071263534199,3.1544411519668305
9/26/17,0.003,0.002,0.001,1.34,1.25,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59e-07,0.2947590357961336,24.233274335004094,3.820426260736424
7/9/16,0.0,0.001,0.0,2.79,7.49,8.08,0.0,0.0,0.0,0.571667373,0.00138511,1.17112672,0.00138511,1.5092057,0.000339886,0.2163426377818277,11.427956051036269,3.2752818564466106
11/9/16,0.001,0.0,0.003,1.24,1.13,2.5,0.0,0.0,0.0,0.589582205,1.03e-07,0.32618162,1.03e-07,0.001543098,1.6e-06,0.2157709398275313,21.31032940089305,3.121665693488371
10/17/15,0.0,0.0,0.0,1.42,1.01,3.23,0.0,0.0,0.0,0.0,2.89e-17,0.0,2.89e-17,0.0,2.15e-18,0.23847707478856478,9.988396007435293,2.3754665428932693
6/17/19,0.014,0.012,0.021,7.12,10.61,10.73,45.0,58.0,197.0,13.4512177,0.001551071,19.4856434,0.001551071,22.5696564,0.006671995,0.21359463888447286,18.456537301881287,3.4202711059939785
